name,album,track_number,acousticness,danceability,energy,valence,popularity,category
"Boys - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),13,0.644,0.502,0.609,0.792,22,1
"Absolutely Fab - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),14,0.905,0.786,0.289,0.949,0,1
"Chains - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),15,0.545,0.517,0.576,0.924,23,1
"Ask Me Why - Live At The BBC For ""Pop Go The Beatles"" / 24th September, 1963",On Air - Live At The BBC (Vol.2),16,0.792,0.694,0.266,0.874,25,1
"Till There Was You - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",On Air - Live At The BBC (Vol.2),17,0.859,0.703,0.369,0.754,26,1
"Lend Me Your Comb - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",On Air - Live At The BBC (Vol.2),18,0.529,0.592,0.521,0.961,22,1
"Lower 5E - Live At The BBC For ""Pop Go The Beatles"" / 10th September, 1963",On Air - Live At The BBC (Vol.2),19,0.962,0.794,0.149,0.96,0,1
"The Hippy Hippy Shake - Live At The BBC For ""Pop Go The Beatles"" / 10th September, 1963",On Air - Live At The BBC (Vol.2),20,0.692,0.504,0.763,0.928,21,1
"Roll Over Beethoven - Live At The BBC For ""Pop Go The Beatles"" / 3rd September, 1963",On Air - Live At The BBC (Vol.2),21,0.961,0.391,0.885,0.89,22,1
"There's A Place - Live At The BBC For ""Pop Go The Beatles"" / 3rd September, 1963",On Air - Live At The BBC (Vol.2),22,0.633,0.514,0.667,0.864,23,1
"Bumper Bundle - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),23,0.854,0.716,0.196,0.906,19,1
"P.S. I Love You - Live At The BBC For ""Pop Go The Beatles"" / 25th June, 1963",On Air - Live At The BBC (Vol.2),24,0.451,0.55,0.295,0.736,24,1
"Please Mister Postman - Live At The BBC For ""Pop Go The Beatles"" / 30th July 1963",On Air - Live At The BBC (Vol.2),25,0.823,0.704,0.549,0.922,26,1
"Beautiful Dreamer - Live At The BBC For ""Saturday Club"" / 26th January, 1963",On Air - Live At The BBC (Vol.2),26,0.84,0.44,0.765,0.81,22,1
"Devil In Her Heart - Live At The BBC For ""Pop Go The Beatles"" / 25th September, 1963",On Air - Live At The BBC (Vol.2),27,0.788,0.714,0.534,0.897,22,1
"The 49 Weeks - Live At The BBC For ""Pop Go The Beatles"" / 24th September, 1963",On Air - Live At The BBC (Vol.2),28,0.977,0.861,0.2,0.98,0,1
"Sure To Fall (In Love With You) - Live At The BBC For ""Pop Go The Beatles"" / 24th September, 1963",On Air - Live At The BBC (Vol.2),29,0.78,0.662,0.336,0.723,20,1
"Never Mind, Eh? - Live At The BBC For ""Pop Go The Beatles"" / 24th September, 1963",On Air - Live At The BBC (Vol.2),30,0.961,0.716,0.164,0.546,18,1
"Twist And Shout - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963",On Air - Live At The BBC (Vol.2),31,0.601,0.65,0.753,0.932,39,1
"Bye, Bye - Live At The BBC For ""Pop Go The Beatles"" / 24th September, 1963",On Air - Live At The BBC (Vol.2),32,0.979,0.628,0.201,0.0,0,1
"John - Pop Profile - Live At The BBC / 30th November, 1965",On Air - Live At The BBC (Vol.2),33,0.738,0.7,0.186,0.832,18,1
"George - Pop Profile - Live At The BBC / 30th November, 1965",On Air - Live At The BBC (Vol.2),34,0.786,0.596,0.118,0.594,17,1
"I Saw Her Standing There - Live At The BBC For ""Saturday Club"" / 5th October, 1963",On Air - Live At The BBC (Vol.2),1,0.143,0.492,0.506,0.96,24,1
"Glad All Over - Live At The BBC For ""Saturday Club"" / 24th August, 1963",On Air - Live At The BBC (Vol.2),2,0.623,0.638,0.581,0.959,19,1
"Lift Lid Again - Live At The BBC For ""Saturday Club"" / 24th August, 1963",On Air - Live At The BBC (Vol.2),3,0.966,0.678,0.16,0.864,17,1
"I'll Get You - Live At The BBC For ""Saturday Club"" / 5th October, 1963",On Air - Live At The BBC (Vol.2),4,0.303,0.753,0.346,0.953,21,1
"She Loves You - Live At The BBC For ""Saturday Club"" / 5th October, 1963",On Air - Live At The BBC (Vol.2),5,0.432,0.43,0.523,0.904,23,1
"Memphis, Tennessee - Live At The BBC For ""Saturday Club"" / 5th October, 1963",On Air - Live At The BBC (Vol.2),6,0.231,0.757,0.303,0.703,20,1
"Happy Birthday Dear Saturday Club - Live At The BBC For ""Saturday Club"" / 5th October, 1963",On Air - Live At The BBC (Vol.2),7,0.722,0.759,0.486,0.863,46,1
"Now Hush, Hush - Live At The BBC For ""Easy Beat"" / 20th October, 1963",On Air - Live At The BBC (Vol.2),8,0.93,0.449,0.507,0.444,0,1
"From Me To You - Live At The BBC For ""Easy Beat"" / 20th October, 1963",On Air - Live At The BBC (Vol.2),9,0.438,0.474,0.785,0.793,21,1
"Money (That's What I Want) - Live At The BBC For ""The Beatles Say From Us To You"" / 26th December, 1963",On Air - Live At The BBC (Vol.2),10,0.811,0.633,0.67,0.96,23,1
"I Want To Hold Your Hand - Live At The BBC For ""The Beatles Say From Us To You"" / 26th December, 1963",On Air - Live At The BBC (Vol.2),11,0.674,0.588,0.744,0.865,24,1
"Brian Bathtubes - Live At The BBC For ""Saturday Club"" / 21st December, 1963",On Air - Live At The BBC (Vol.2),12,0.953,0.77,0.302,0.797,19,1
"This Boy - Live At The BBC For ""Saturday Club"" / 21st December, 1963",On Air - Live At The BBC (Vol.2),13,0.815,0.632,0.45,0.529,28,1
"If I Wasn’t In America - Live At The BBC For ""Saturday Club"" / 15th February, 1964",On Air - Live At The BBC (Vol.2),14,0.915,0.674,0.54,0.958,22,1
"I Got A Woman - Live At The BBC For ""Saturday Club"" / 4th April, 1964",On Air - Live At The BBC (Vol.2),15,0.0257,0.592,0.563,0.772,20,1
"Long Tall Sally - Live At The BBC For ""Top Gear"" / 16th July, 1964",On Air - Live At The BBC (Vol.2),16,0.0026,0.407,0.477,0.782,19,1
Love Me Do - Mono / Remastered,1 (Remastered),1,0.404,0.524,0.88,0.758,55,2
From Me To You - Mono / Remastered,1 (Remastered),2,0.507,0.581,0.821,0.968,57,2
She Loves You - Mono / Remastered,1 (Remastered),3,0.26,0.377,0.916,0.912,64,2
I Want To Hold Your Hand - Remastered 2015,1 (Remastered),4,0.386,0.49,0.715,0.866,71,2
Can't Buy Me Love - Remastered 2015,1 (Remastered),5,0.118,0.426,0.76,0.955,54,2
A Hard Day's Night - Remastered 2015,1 (Remastered),6,0.0487,0.546,0.818,0.756,56,2
I Feel Fine - Remastered 2015,1 (Remastered),7,0.0904,0.564,0.827,0.912,62,2
Eight Days A Week - Remastered 2015,1 (Remastered),8,0.265,0.636,0.677,0.837,53,2
Ticket To Ride - Remastered 2015,1 (Remastered),9,0.0638,0.554,0.904,0.801,53,2
Help! - Remastered 2015,1 (Remastered),10,0.149,0.602,0.736,0.819,55,2
Yesterday - Remastered 2015,1 (Remastered),11,0.871,0.401,0.189,0.357,58,2
Day Tripper - Remastered 2015,1 (Remastered),12,0.12,0.665,0.782,0.731,65,2
We Can Work It Out - Remastered 2015,1 (Remastered),13,0.0635,0.378,0.677,0.648,61,2
Paperback Writer - Remastered 2015,1 (Remastered),14,0.147,0.472,0.856,0.841,57,2
Yellow Submarine - Remastered 2015,1 (Remastered),15,0.158,0.66,0.557,0.788,52,2
Eleanor Rigby - Remastered 2015,1 (Remastered),16,0.916,0.605,0.314,0.836,56,2
Penny Lane - Remastered 2015,1 (Remastered),17,0.0964,0.679,0.592,0.55,55,2
All You Need Is Love - Remastered 2015,1 (Remastered),18,0.437,0.397,0.625,0.676,56,2
"Hello, Goodbye - Remastered 2015",1 (Remastered),19,0.402,0.498,0.806,0.664,53,2
Lady Madonna - Remastered 2015,1 (Remastered),20,0.141,0.65,0.777,0.574,56,2
Hey Jude - Remastered 2015,1 (Remastered),21,0.0112,0.386,0.607,0.532,73,2
Get Back - Remastered 2015,1 (Remastered),22,0.186,0.703,0.636,0.218,55,2
The Ballad Of John And Yoko - Remastered 2015,1 (Remastered),23,0.00465,0.651,0.892,0.962,55,2
Something - Remastered 2015,1 (Remastered),24,0.302,0.449,0.375,0.466,53,2
Come Together - Remastered 2015,1 (Remastered),25,0.0601,0.559,0.343,0.183,53,2
Let It Be - Remastered 2015,1 (Remastered),26,0.58,0.445,0.436,0.483,62,2
The Long And Winding Road - Remastered 2015,1 (Remastered),27,0.667,0.326,0.365,0.314,50,2
"Beatles Greetings - Live At The BBC For ""The Public Ear"" / 3rd November, 1963",Live At The BBC (Remastered),1,0.878,0.0,0.29,0.0,1,1
"From Us To You - Live At The BBC / Opening Theme From ""From Us To You"" / 1964",Live At The BBC (Remastered),2,0.0349,0.643,0.773,0.88,4,1
"Riding On A Bus - Live At The BBC For ""Top Gear"" / 26th November, 1964",Live At The BBC (Remastered),3,0.928,0.646,0.135,0.624,24,1
"I Got A Woman - Live At The BBC For ""Pop Go The Beatles"" / 13th August, 1963",Live At The BBC (Remastered),4,0.646,0.676,0.661,0.909,27,1
"Too Much Monkey Business - Live At The BBC For ""Pop Go The Beatles"" / 10th September, 1963",Live At The BBC (Remastered),5,0.28,0.631,0.766,0.965,27,1
"Keep Your Hands Off My Baby - Live At The BBC For ""Saturday Club"" / 26th January, 1963",Live At The BBC (Remastered),6,0.0851,0.566,0.629,0.885,27,1
"I'll Be On My Way - Live At The BBC For ""Side By Side"" / 24th June, 1963",Live At The BBC (Remastered),7,0.234,0.614,0.485,0.79,29,1
"Young Blood - Live At The BBC For ""Pop Go The Beatles"" / 11th June, 1963",Live At The BBC (Remastered),8,0.697,0.474,0.615,0.923,26,1
"A Shot Of Rhythm And Blues - Live At The BBC For ""Pop Go The Beatles"" / 27th August, 1963",Live At The BBC (Remastered),9,0.879,0.699,0.752,0.968,30,1
"Sure To Fall (In Love With You) - Live At The BBC For ""Pop Go The Beatles"" / 18th June, 1963",Live At The BBC (Remastered),10,0.351,0.485,0.53,0.896,25,1
"Some Other Guy - Live At The BBC For ""Easy Beat"" / 23rd June, 1963",Live At The BBC (Remastered),11,0.00388,0.451,0.809,0.895,31,1
"Thank You Girl - Live At The BBC For ""Easy Beat"" / 23rd June, 1963",Live At The BBC (Remastered),12,0.0183,0.404,0.722,0.932,25,1
"Sha La La La La! - Live At The BBC For ""Pop Go The Beatles"" / 11th June, 1963",Live At The BBC (Remastered),13,0.583,0.803,0.349,0.95,1,1
"Baby It's You - Live At The BBC For ""Pop Go The Beatles"" / 11th June, 1963",Live At The BBC (Remastered),14,0.326,0.531,0.525,0.786,28,1
"That's All Right (Mama) - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",Live At The BBC (Remastered),15,0.604,0.671,0.657,0.957,26,1
"Carol - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",Live At The BBC (Remastered),16,0.311,0.484,0.706,0.979,25,1
"What Is It, George? - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",Live At The BBC (Remastered),17,0.784,0.745,0.173,0.649,23,1
"Soldier Of Love - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",Live At The BBC (Remastered),18,0.319,0.742,0.413,0.969,34,1
"A Little Rhyme - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",Live At The BBC (Remastered),19,0.82,0.744,0.182,0.88,0,1
"Clarabella - Live At The BBC For ""Pop Go The Beatles"" / 16th July, 1963",Live At The BBC (Remastered),20,0.61,0.521,0.63,0.883,24,1
"I'm Gonna Sit Right Down And Cry (Over You) - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963",Live At The BBC (Remastered),21,0.357,0.639,0.651,0.942,25,1
"Crying, Waiting, Hoping - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963",Live At The BBC (Remastered),22,0.689,0.647,0.312,0.895,26,1
"Dear Wack! - Live At The BBC For ""Saturday Club"" / 24th August, 1963",Live At The BBC (Remastered),23,0.928,0.626,0.15,0.934,21,1
"You Really Got A Hold On Me - Live At The BBC For ""Saturday Club"" / 24th August, 1963",Live At The BBC (Remastered),24,0.721,0.649,0.294,0.738,25,1
"To Know Her Is To Love Her - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963",Live At The BBC (Remastered),25,0.777,0.45,0.34,0.456,31,1
"A Taste Of Honey - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",Live At The BBC (Remastered),26,0.737,0.506,0.285,0.607,25,1
"Long Tall Sally - Live At The BBC For ""Pop Go The Beatles"" / 13th August, 1963",Live At The BBC (Remastered),27,0.267,0.593,0.666,0.877,23,1
"I Saw Her Standing There - Live At The BBC For ""Easy Beat"" / 20th October 1963",Live At The BBC (Remastered),28,0.232,0.459,0.735,0.938,27,1
"The Honeymoon Song - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963",Live At The BBC (Remastered),29,0.72,0.728,0.323,0.799,26,1
"Johnny B Goode - Live At The BBC For ""Saturday Club"" / 15th February, 1964",Live At The BBC (Remastered),30,0.0281,0.492,0.737,0.961,31,1
"Memphis, Tennessee - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",Live At The BBC (Remastered),31,0.613,0.77,0.411,0.538,24,1
"Lucille - Live At The BBC For ""Saturday Club"" / 5th October, 1963",Live At The BBC (Remastered),32,0.397,0.629,0.651,0.97,24,1
"Can't Buy Me Love - Live At The BBC For ""From Us To You Say The Beatles"" / 10th March, 1964",Live At The BBC (Remastered),33,0.316,0.531,0.597,0.946,23,1
"From Fluff To You - Live At The BBC For ""From Us To You Say The Beatles"" / 10th March, 1964",Live At The BBC (Remastered),34,0.753,0.719,0.0596,0.721,1,1
"Till There Was You - Live At The BBC For ""From Us To You Say The Beatles"" / 10th March, 1964",Live At The BBC (Remastered),35,0.616,0.571,0.329,0.571,25,1
"Crinsk Dee Night - Live At The BBC For ""Top Gear"" / 16th July, 1964",Live At The BBC (Remastered),1,0.807,0.678,0.11,0.699,20,1
"A Hard Day's Night - Live At The BBC For ""Top Gear"" / 16th July, 1964",Live At The BBC (Remastered),2,0.0179,0.552,0.525,0.796,23,1
"Ringo? Yep! - Live At The BBC For ""From Us To You Say The Beatles"" / 30th March, 1964",Live At The BBC (Remastered),3,0.318,0.0,0.0613,0.0,0,1
"I Wanna Be Your Man - Live At The BBC For ""From Us To You Say The Beatles"" / 30th March, 1964",Live At The BBC (Remastered),4,0.436,0.435,0.818,0.691,21,1
"Just A Rumour - Live At The BBC For ""From Us To You Say The Beatles"" / 30th March, 1964",Live At The BBC (Remastered),5,0.589,0.737,0.0586,0.923,0,1
"Roll Over Beethoven - Live At The BBC For ""From Us To You Say The Beatles"" / 30th March, 1964",Live At The BBC (Remastered),6,0.27,0.468,0.644,0.966,22,1
"All My Loving - Live At The BBC For ""From Us To You Say The Beatles"" / 30th March, 1964",Live At The BBC (Remastered),7,0.117,0.477,0.49,0.882,27,1
"Things We Said Today - Live At The BBC For ""Top Gear"" / 16th July, 1964",Live At The BBC (Remastered),8,0.267,0.649,0.488,0.778,22,1
"She's A Woman - Live At The BBC For ""Top Gear"" / 26th November, 1964",Live At The BBC (Remastered),9,0.138,0.76,0.378,0.907,22,1
"Sweet Little Sixteen - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",Live At The BBC (Remastered),10,0.403,0.491,0.637,0.975,26,1
"1822! - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",Live At The BBC (Remastered),11,0.953,0.0,0.0923,0.0,0,1
"Lonesome Tears In My Eyes - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",Live At The BBC (Remastered),12,0.46,0.579,0.481,0.963,25,1
"Nothin' Shakin' - Live At The BBC For ""Pop Go The Beatles"" / 23rd July, 1963",Live At The BBC (Remastered),13,0.52,0.761,0.614,0.979,24,1
"The Hippy Hippy Shake - Live At The BBC For ""Pop Go The Beatles"" / 30th July, 1963",Live At The BBC (Remastered),14,0.504,0.541,0.6,0.958,25,1
"Glad All Over - Live At The BBC For ""Pop Go The Beatles"" / 20th August, 1963",Live At The BBC (Remastered),15,0.583,0.604,0.617,0.913,21,1
Two Of Us - Remastered 2009,Let It Be (Remastered),1,0.0974,0.726,0.702,0.931,56,2
Dig A Pony - Remastered 2009,Let It Be (Remastered),2,0.472,0.538,0.478,0.527,51,2
Across The Universe - Remastered 2009,Let It Be (Remastered),3,0.361,0.257,0.412,0.858,65,2
I Me Mine - Remastered 2009,Let It Be (Remastered),4,0.179,0.291,0.638,0.525,53,2
Dig It - Remastered 2009,Let It Be (Remastered),5,0.659,0.54,0.489,0.67,45,2
Let It Be - Remastered 2009,Let It Be (Remastered),6,0.631,0.443,0.403,0.41,76,2
Maggie Mae - Remastered 2009,Let It Be (Remastered),7,0.379,0.516,0.515,0.524,48,2
I've Got A Feeling - Remastered 2009,Let It Be (Remastered),8,0.0715,0.44,0.609,0.364,55,2
One After 909 - Remastered 2009,Let It Be (Remastered),9,0.0307,0.554,0.828,0.888,48,2
The Long And Winding Road - Remastered 2009,Let It Be (Remastered),10,0.756,0.299,0.329,0.392,64,2
For You Blue - Remastered 2009,Let It Be (Remastered),11,0.24,0.88,0.556,0.955,48,2
Get Back - Remastered 2009,Let It Be (Remastered),12,0.492,0.761,0.592,0.332,65,2
Come Together - Remastered 2009,Abbey Road (Remastered),1,0.0302,0.533,0.376,0.187,76,2
Something - Remastered 2009,Abbey Road (Remastered),2,0.198,0.396,0.338,0.377,71,2
Maxwell's Silver Hammer - Remastered 2009,Abbey Road (Remastered),3,0.629,0.764,0.426,0.726,57,2
Oh! Darling - Remastered 2009,Abbey Road (Remastered),4,0.0126,0.422,0.656,0.549,65,2
Octopus's Garden - Remastered 2009,Abbey Road (Remastered),5,0.155,0.626,0.512,0.73,63,2
I Want You (She's So Heavy) - Remastered 2009,Abbey Road (Remastered),6,0.0233,0.37,0.515,0.42,60,2
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),7,0.0339,0.557,0.54,0.394,81,2
Because - Remastered 2009,Abbey Road (Remastered),8,0.754,0.328,0.249,0.162,57,2
You Never Give Me Your Money - Remastered 2009,Abbey Road (Remastered),9,0.345,0.335,0.416,0.223,56,2
Sun King - Remastered 2009,Abbey Road (Remastered),10,0.284,0.483,0.177,0.192,55,2
Mean Mr Mustard - Remastered 2009,Abbey Road (Remastered),11,0.0699,0.676,0.596,0.97,54,2
Polythene Pam - Remastered 2009,Abbey Road (Remastered),12,0.00472,0.474,0.939,0.499,53,2
She Came In Through The Bathroom Window - Remastered 2009,Abbey Road (Remastered),13,0.00376,0.53,0.72,0.69,56,2
Golden Slumbers - Remastered 2009,Abbey Road (Remastered),14,0.326,0.419,0.152,0.239,64,2
Carry That Weight - Remastered 2009,Abbey Road (Remastered),15,0.226,0.543,0.458,0.704,57,2
The End - Remastered 2009,Abbey Road (Remastered),16,0.00101,0.647,0.487,0.222,55,2
Her Majesty - Remastered 2009,Abbey Road (Remastered),17,0.728,0.703,0.215,0.522,21,2
Yellow Submarine - Remastered 2009,Yellow Submarine (Remastered),1,0.518,0.605,0.536,0.688,46,2
Only A Northern Song - Remastered 2009,Yellow Submarine (Remastered),2,0.000341,0.175,0.731,0.801,39,2
All Together Now - Remastered 2009,Yellow Submarine (Remastered),3,0.0722,0.587,0.431,0.778,42,2
Hey Bulldog - Remastered 2009,Yellow Submarine (Remastered),4,0.0197,0.587,0.617,0.947,51,2
It's All Too Much - Remastered 2009,Yellow Submarine (Remastered),5,4.3e-05,0.39,0.781,0.199,40,2
All You Need Is Love - Remastered 2009,Yellow Submarine (Remastered),6,0.345,0.4,0.463,0.627,40,2
Pepperland - Remastered 2009,Yellow Submarine (Remastered),7,0.661,0.354,0.281,0.367,42,2
Sea Of Time - Remastered 2009,Yellow Submarine (Remastered),8,0.971,0.237,0.096,0.0629,35,2
Sea Of Holes - Remastered 2009,Yellow Submarine (Remastered),9,0.959,0.249,0.0994,0.0357,33,2
Sea Of Monsters - Remastered 2009,Yellow Submarine (Remastered),10,0.945,0.253,0.166,0.0489,30,2
March Of The Meanies - Remastered 2009,Yellow Submarine (Remastered),11,0.934,0.538,0.378,0.16,32,2
Pepperland Laid Waste - Remastered 2009,Yellow Submarine (Remastered),12,0.877,0.269,0.0902,0.0462,30,2
Yellow Submarine In Pepperland - Remastered 2009,Yellow Submarine (Remastered),13,0.808,0.406,0.219,0.271,42,2
Back In The U.S.S.R. - Remastered 2009,The Beatles (Remastered),1,0.069,0.48,0.969,0.494,64,2
Dear Prudence - Remastered 2009,The Beatles (Remastered),2,0.16,0.388,0.529,0.332,57,2
Glass Onion - Remastered 2009,The Beatles (Remastered),3,0.0123,0.523,0.51,0.789,53,2
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles (Remastered),4,0.232,0.818,0.728,0.975,69,2
Wild Honey Pie - Remastered 2009,The Beatles (Remastered),5,0.425,0.792,0.763,0.152,48,2
The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles (Remastered),6,0.224,0.621,0.459,0.648,50,2
While My Guitar Gently Weeps - Remastered 2009,The Beatles (Remastered),7,0.0205,0.453,0.654,0.702,69,2
Happiness Is A Warm Gun - Remastered 2009,The Beatles (Remastered),8,0.523,0.431,0.54,0.44,57,2
Martha My Dear - Remastered 2009,The Beatles (Remastered),9,0.872,0.472,0.292,0.824,53,2
I'm So Tired - Remastered 2009,The Beatles (Remastered),10,0.656,0.433,0.483,0.717,54,2
Blackbird - Remastered 2009,The Beatles (Remastered),11,0.754,0.686,0.127,0.372,74,2
Piggies - Remastered 2009,The Beatles (Remastered),12,0.643,0.542,0.445,0.52,48,2
Rocky Raccoon - Remastered 2009,The Beatles (Remastered),13,0.333,0.599,0.363,0.648,56,2
Don't Pass Me By - Remastered 2009,The Beatles (Remastered),14,0.594,0.599,0.537,0.946,49,2
Why Don't We Do It In The Road? - Remastered 2009,The Beatles (Remastered),15,0.53,0.589,0.522,0.957,49,2
I Will - Remastered 2009,The Beatles (Remastered),16,0.742,0.631,0.387,0.832,63,2
Julia - Remastered 2009,The Beatles (Remastered),17,0.828,0.512,0.0953,0.193,53,2
Birthday - Remastered 2009,The Beatles (Remastered),1,7.37e-05,0.541,0.727,0.91,53,2
Yer Blues - Remastered 2009,The Beatles (Remastered),2,0.000875,0.327,0.525,0.435,50,2
Mother Nature's Son - Remastered 2009,The Beatles (Remastered),3,0.634,0.608,0.178,0.401,52,2
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles (Remastered),4,0.0207,0.523,0.731,0.81,48,2
Sexy Sadie - Remastered 2009,The Beatles (Remastered),5,0.33,0.577,0.624,0.671,50,2
Helter Skelter - Remastered 2009,The Beatles (Remastered),6,0.000606,0.166,0.831,0.281,60,2
"Long, Long, Long - Remastered 2009",The Beatles (Remastered),7,0.539,0.349,0.129,0.163,48,2
Revolution 1 - Remastered 2009,The Beatles (Remastered),8,0.0785,0.386,0.626,0.695,49,2
Honey Pie - Remastered 2009,The Beatles (Remastered),9,0.88,0.537,0.297,0.553,49,2
Savoy Truffle - Remastered 2009,The Beatles (Remastered),10,0.00814,0.623,0.544,0.793,46,2
Cry Baby Cry - Remastered 2009,The Beatles (Remastered),11,0.115,0.517,0.529,0.362,48,2
Revolution 9 - Remastered 2009,The Beatles (Remastered),12,0.769,0.208,0.615,0.101,44,2
Good Night - Remastered 2009,The Beatles (Remastered),13,0.865,0.146,0.355,0.178,47,2
Magical Mystery Tour - Remastered 2009,Magical Mystery Tour (Remastered),1,0.0385,0.297,0.613,0.338,51,2
The Fool On The Hill - Remastered 2009,Magical Mystery Tour (Remastered),2,0.913,0.356,0.26,0.49,56,2
Flying - Remastered 2009,Magical Mystery Tour (Remastered),3,0.368,0.551,0.395,0.261,49,2
Blue Jay Way - Remastered 2009,Magical Mystery Tour (Remastered),4,0.0258,0.294,0.407,0.0378,49,2
Your Mother Should Know - Remastered 2009,Magical Mystery Tour (Remastered),5,0.784,0.698,0.293,0.724,53,2
I Am The Walrus - Remastered 2009,Magical Mystery Tour (Remastered),6,0.0828,0.401,0.556,0.654,60,2
"Hello, Goodbye - Remastered 2009",Magical Mystery Tour (Remastered),7,0.306,0.479,0.733,0.806,60,2
Strawberry Fields Forever - Remastered 2009,Magical Mystery Tour (Remastered),8,0.336,0.39,0.502,0.289,68,2
Penny Lane - Remastered 2009,Magical Mystery Tour (Remastered),9,0.212,0.651,0.488,0.49,61,2
"Baby, You're A Rich Man - Remastered 2009",Magical Mystery Tour (Remastered),10,0.0119,0.619,0.625,0.467,51,2
All You Need Is Love - Remastered 2009,Magical Mystery Tour (Remastered),11,0.346,0.4,0.48,0.653,64,2
Sgt. Pepper's Lonely Hearts Club Band - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),1,0.0289,0.367,0.846,0.516,16,0
With A Little Help From My Friends - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),2,0.114,0.673,0.628,0.711,14,0
Lucy In The Sky With Diamonds - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),3,0.0935,0.325,0.513,0.425,14,0
Getting Better - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),4,0.0647,0.599,0.538,0.799,13,0
Fixing A Hole - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),5,0.486,0.412,0.653,0.548,11,0
She's Leaving Home - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),6,0.884,0.372,0.317,0.205,13,0
Being For The Benefit Of Mr. Kite! - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),7,0.119,0.437,0.744,0.589,11,0
Within You Without You - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),8,0.35,0.293,0.55,0.377,10,0
When I'm Sixty-Four - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),9,0.467,0.693,0.3,0.587,11,0
Lovely Rita - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),10,0.0069,0.577,0.675,0.659,10,0
Good Morning Good Morning - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),11,0.000366,0.516,0.774,0.849,9,0
Sgt. Pepper's Lonely Hearts Club Band (Reprise) - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),12,0.000236,0.576,0.945,0.794,10,0
A Day In The Life - Remix,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),13,0.254,0.339,0.446,0.133,13,0
Sgt. Pepper's Lonely Hearts Club Band - Take 9 And Speech,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),1,0.291,0.583,0.687,0.5,8,0
With A Little Help From My Friends - Take 1 / False Start And Take 2 / Instrumental,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),2,0.232,0.913,0.603,0.38,6,0
Lucy In The Sky With Diamonds - Take 1,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),3,0.749,0.423,0.361,0.328,7,0
Getting Better - Take 1 / Instrumental And Speech At The End,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),4,0.447,0.73,0.459,0.33,6,0
Fixing A Hole - Speech And Take 3,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),5,0.162,0.591,0.554,0.641,5,0
She's Leaving Home - Take 1 / Instrumental,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),6,0.919,0.443,0.118,0.184,5,0
Being For The Benefit Of Mr. Kite! - Take 4,Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),7,0.482,0.595,0.378,0.536,5,0
